ID,RA,DEC,u_petro,J0378_petro,J0395_petro,J0410_petro,J0430_petro,g_petro,J0515_petro,r_petro,J0660_petro,i_petro,J0861_petro,z_petro,e_u_petro,e_J0378_petro,e_J0395_petro,e_J0410_petro,e_J0430_petro,e_g_petro,e_J0515_petro,e_r_petro,e_J0660_petro,e_i_petro,e_J0861_petro,e_z_petro,SEX_FLAGS_u,SEX_FLAGS_J0378,SEX_FLAGS_J0395,SEX_FLAGS_J0410,SEX_FLAGS_J0430,SEX_FLAGS_g,SEX_FLAGS_J0515,SEX_FLAGS_r,SEX_FLAGS_J0660,SEX_FLAGS_i,SEX_FLAGS_J0861,SEX_FLAGS_z,zml,odds
iDR4_3_STRIPE82-0073_0011797,51.409848615613164,-1.030173921067484,17.021994,16.546873,16.420715,15.975602,16.063068,15.874783,15.640783,15.322229,15.272361,15.118438,14.918741,14.8933525,0.04363618,0.0443184,0.059059046,0.035982605,0.036879938,0.010596202,0.021269081,0.007927086,0.008888694,0.010243206,0.0209137,0.016333222,3,3,3,3,3,3,3,3,3,3,3,3,0.025,0.99253684
iDR4_3_STRIPE82-0073_0039893,51.31772056272655,-0.4090053132530125,16.929882,16.394617,16.951258,16.261173,15.743463,15.169409,14.821243,14.20659,14.090882,13.7202215,13.484724,13.415962,0.04995521,0.047532596,0.11589401,0.05412337,0.031858128,0.0064588906,0.01160412,0.0033935425,0.00354312,0.003307826,0.0073047,0.0047978703,2,2,2,2,2,2,2,2,2,2,2,2,0.035,0.9942637
iDR4_3_STRIPE82-0065_0035625,45.96018311222881,-0.20440927514360968,16.126163,15.642875,15.439448,15.292675,15.06152,14.90494,14.680639,14.316633,14.296435,14.062622,13.910812,13.83356,0.02512992,0.025430683,0.030542422,0.022945868,0.017262535,0.007179226,0.010165325,0.00487738,0.0042920215,0.0048416485,0.009823968,0.007671776,0,0,0,0,0,0,0,0,0,0,0,0,0.031166667,0.9955521
iDR4_3_STRIPE82-0116_0005442,319.91974782114994,0.12091657310005992,17.330809,16.611715,16.126724,16.14828,15.816451,15.782491,15.413806,15.034012,14.950973,14.632029,14.343628,14.325177,0.06739893,0.0628487,0.09367842,0.060998637,0.04109408,0.0114654545,0.021236109,0.0069696144,0.007334449,0.007050333,0.012035693,0.48118427,2,2,2,2,2,2,2,2,2,2,2,2,0.036666665,0.99444187
iDR4_3_STRIPE82-0074_0009433,50.696713471161,0.14944045148719903,15.994683,15.309632,15.25579,15.01536,14.801513,14.602056,14.339929,13.967813,13.874171,13.632805,13.520374,13.419959,0.019094778,0.017602956,0.026439158,0.017950485,0.01340315,0.0034025756,0.007799584,0.00233937,0.002741426,0.0025840248,0.0061746566,0.0040618093,3,3,3,3,3,3,3,3,3,3,3,3,0.022333333,0.99603456
iDR4_3_STRIPE82-0072_0024325,49.92934767645183,0.565332637427566,16.780926,16.22531,15.860328,15.633971,15.604081,15.311044,15.096699,14.690587,14.6331415,14.365435,14.247572,14.155987,0.044199467,0.042394858,0.046096917,0.03169963,0.028470166,0.0076644816,0.01503465,0.0050527453,0.005549098,0.005369824,0.012117315,0.008668531,0,0,0,0,0,0,0,0,0,0,0,0,0.020083332,0.9977137
iDR4_3_STRIPE82-0067_0011186,46.294175467397324,-1.0754229286517034,17.059925,16.616043,16.693031,16.609121,15.889183,15.590192,15.281292,14.760396,14.681024,14.364628,14.154595,14.052031,0.055762574,0.05888604,0.09566146,0.08041452,0.03923942,0.010143471,0.018958218,0.0062235883,0.0066345013,0.0072584576,0.012771029,0.0105967345,3,3,3,3,3,3,3,3,3,3,3,3,0.059166666,0.9744264
iDR4_3_STRIPE82-0071_0009531,50.17886124634887,-1.1086109356180576,15.561203,15.107607,14.959885,14.809469,14.611334,14.491356,14.252335,13.970867,13.923974,13.747745,13.581729,13.571784,0.020495037,0.021230731,0.028097304,0.021783395,0.020641625,0.00531016,0.010425201,0.0040729414,0.0054065883,0.0047348533,0.0101753725,0.008016486,3,3,3,3,3,3,3,3,3,3,3,3,0.021416666,0.9976724
iDR4_3_STRIPE82-0071_0037955,50.13832526469342,-0.3400273604468456,16.477043,16.19171,15.89541,15.67699,15.311361,14.963043,14.707162,14.206259,14.100536,13.8264065,13.62164,13.558589,0.028210163,0.0330215,0.03800554,0.026932452,0.022092719,0.0047199563,0.008932057,0.0029770266,0.0037124394,0.0029125581,0.005900093,0.004392615,3,3,3,3,3,3,3,3,3,3,3,3,0.035916667,0.9935319
iDR4_3_STRIPE82-0061_0019913,42.279157664495386,-0.9021678980082243,17.263592,17.023428,16.50595,16.324083,16.223871,16.241499,16.02896,15.723305,15.626603,15.448901,15.389638,15.2535,0.06399988,0.0849574,0.0775196,0.058626104,0.05043034,0.017189968,0.035385862,0.012818289,0.014097567,0.015386187,0.035684578,0.024616577,3,3,3,3,3,3,3,3,3,3,3,3,0.021083333,0.9954613
